Date,SP500,HANGSENG,KOSPI
2011-08-25,1159.27001953125,19752.48046875,1764.5799560546875
2011-08-26,1176.800048828125,19582.880859375,1778.949951171875
2011-08-29,1210.0799560546875,19865.109375,1829.5
2011-08-30,1212.9200439453125,20204.169921875,1843.8199462890625
2011-08-31,1218.8900146484375,20534.849609375,1880.1099853515625
2011-09-01,1204.4200439453125,20585.330078125,1880.699951171875
2011-09-02,1173.969970703125,20212.91015625,1867.75
2011-09-06,1165.239990234375,19710.5,1766.7099609375
2011-09-07,1198.6199951171875,20048.0,1833.4599609375
2011-09-08,1185.9000244140625,19912.8203125,1846.6400146484375
2011-09-09,1154.22998046875,19866.630859375,1812.9300537109375
2011-09-14,1188.6800537109375,19045.439453125,1749.1600341796875
2011-09-15,1209.1099853515625,19181.5,1774.0799560546875
2011-09-16,1216.010009765625,19455.310546875,1840.0999755859375
2011-09-19,1204.0899658203125,18917.94921875,1820.93994140625
2011-09-20,1202.0899658203125,19014.80078125,1837.969970703125
2011-09-21,1166.760009765625,18824.169921875,1854.280029296875
2011-09-22,1129.56005859375,17911.94921875,1800.550048828125
2011-09-23,1136.4300537109375,17668.830078125,1697.43994140625
2011-09-26,1162.949951171875,17407.80078125,1652.7099609375
2011-09-27,1175.3800048828125,18130.55078125,1735.7099609375
2011-09-28,1151.06005859375,18011.060546875,1723.0899658203125
2011-09-30,1131.4200439453125,17592.41015625,1769.6500244140625
2011-10-06,1164.969970703125,17172.279296875,1710.3199462890625
2011-10-07,1155.4599609375,17707.009765625,1759.77001953125
2011-10-10,1194.8900146484375,17711.060546875,1766.43994140625
2011-10-11,1195.5400390625,18141.58984375,1795.02001953125
2011-10-12,1207.25,18329.4609375,1809.5
2011-10-13,1203.6600341796875,18757.810546875,1823.0999755859375
2011-10-14,1224.5799560546875,18501.7890625,1835.4000244140625
2011-10-17,1200.8599853515625,18873.990234375,1865.1800537109375
2011-10-18,1225.3800048828125,18076.4609375,1838.9000244140625
2011-10-19,1209.8800048828125,18309.220703125,1855.9200439453125
2011-10-20,1215.3900146484375,17983.099609375,1805.0899658203125
2011-10-21,1238.25,18025.720703125,1838.3800048828125
2011-10-24,1254.18994140625,18771.8203125,1898.3199462890625
2011-10-25,1229.050048828125,18968.19921875,1888.6500244140625
2011-10-26,1242.0,19066.5390625,1894.31005859375
2011-10-27,1284.5899658203125,19688.69921875,1922.0400390625
2011-10-28,1285.0899658203125,20019.240234375,1929.47998046875
2011-10-31,1253.300048828125,19864.869140625,1909.030029296875
2011-11-01,1218.280029296875,19369.9609375,1909.6300048828125
2011-11-02,1237.9000244140625,19733.7109375,1898.010009765625
2011-11-03,1261.1500244140625,19242.5,1869.9599609375
2011-11-04,1253.22998046875,19842.7890625,1928.4100341796875
2011-11-07,1261.1199951171875,19677.890625,1919.0999755859375
2011-11-08,1275.9200439453125,19678.470703125,1903.1400146484375
2011-11-09,1229.0999755859375,20014.4296875,1907.530029296875
2011-11-10,1239.699951171875,18963.890625,1813.25
2011-11-11,1263.8499755859375,19137.169921875,1863.449951171875
2011-11-14,1251.780029296875,19508.1796875,1902.81005859375
2011-11-15,1257.81005859375,19348.439453125,1886.1199951171875
2011-11-16,1236.9100341796875,18960.900390625,1856.0699462890625
2011-11-17,1216.1300048828125,18817.470703125,1876.6700439453125
2011-11-18,1215.6500244140625,18491.23046875,1839.1700439453125
2011-11-21,1192.97998046875,18225.849609375,1820.030029296875
2011-11-22,1188.0400390625,18251.58984375,1826.280029296875
2011-11-23,1161.7900390625,17864.4296875,1783.0999755859375
2011-11-25,1158.6700439453125,17689.48046875,1776.4000244140625
2011-11-28,1192.550048828125,18037.810546875,1815.280029296875
2011-11-29,1195.18994140625,18256.19921875,1856.52001953125
2011-11-30,1246.9599609375,17989.349609375,1847.510009765625
2011-12-01,1244.5799560546875,19002.259765625,1916.1800537109375
2011-12-02,1244.280029296875,19040.390625,1916.0400390625
2011-12-05,1257.0799560546875,19179.689453125,1922.9000244140625
2011-12-06,1258.469970703125,18942.23046875,1902.8199462890625
2011-12-07,1261.010009765625,19240.580078125,1919.4200439453125
2011-12-08,1234.3499755859375,19107.810546875,1912.3900146484375
2011-12-09,1255.18994140625,18586.23046875,1874.75
2011-12-12,1236.469970703125,18575.66015625,1899.760009765625
2011-12-13,1225.72998046875,18447.169921875,1864.06005859375
2011-12-14,1211.8199462890625,18354.4296875,1857.75
2011-12-15,1215.75,18026.83984375,1819.1099853515625
2011-12-16,1219.6600341796875,18285.390625,1839.9599609375
2011-12-19,1205.3499755859375,18070.2109375,1776.9300537109375
2011-12-20,1241.300048828125,18080.19921875,1793.06005859375
2011-12-21,1243.719970703125,18416.44921875,1848.4100341796875
2011-12-22,1254.0,18378.23046875,1847.489990234375
2011-12-23,1265.3299560546875,18629.169921875,1867.219970703125
2011-12-28,1249.6400146484375,18518.669921875,1825.1199951171875
2011-12-29,1263.02001953125,18397.919921875,1825.739990234375
2012-01-03,1277.06005859375,18877.41015625,1875.4100341796875
2012-01-04,1277.300048828125,18727.310546875,1866.219970703125
2012-01-05,1281.06005859375,18813.41015625,1863.739990234375
2012-01-06,1277.81005859375,18593.060546875,1843.1400146484375
2012-01-09,1280.699951171875,18865.720703125,1826.489990234375
2012-01-10,1292.0799560546875,19004.279296875,1853.219970703125
2012-01-11,1292.47998046875,19151.939453125,1845.550048828125
2012-01-12,1295.5,19095.380859375,1864.5699462890625
2012-01-13,1289.0899658203125,19204.419921875,1875.6800537109375
